===== 实验七：HybridNLParser三模式对比 =====

--- 7.1 三模式总体对比 ---
Mode,Intent Acc(%),Overall Acc(%),Avg Latency(ms),LLM Trigger Rate(%)
Rule Only,61.2,61.2,<1,0
Hybrid,90.6,82.8,457.8,47.8
LLM Only,98.0,84.0,798,100

--- 7.2 Hybrid按变体分析 ---
Variant,Rule Intent(%),Rule Overall(%),Hybrid Intent(%),Hybrid Overall(%),LLM Only Intent(%),LLM Only Overall(%),Hybrid LLM Rate(%)
STANDARD,79.2,79.2,94.4,94.4,100.0,100.0,23.2
COLLOQUIAL,20.0,20.0,80.8,60.0,96.0,80.0,100.0
ABBREVIATED,73.6,73.6,96.0,86.4,100.0,64.0,31.2
NOISY,72.0,72.0,91.2,90.4,96.0,92.0,36.8

--- 7.3 Hybrid按类别分析 ---
Category,Rule Intent(%),Rule Overall(%),Hybrid Intent(%),Hybrid Overall(%),LLM Trigger Count,LLM Trigger Rate(%)
QUERY,99.0,99.0,96.0,88.0,49,49.0
CREATE,43.0,43.0,90.0,81.0,57,57.0
UPDATE,64.0,64.0,98.0,90.0,36,36.0
DELETE,38.0,38.0,88.0,77.0,62,62.0
STATISTICS,62.0,62.0,81.0,78.0,35,35.0

--- 7.4 Hybrid逐条详情 ---
序号,类别,变体,输入,期望意图,实际意图,意图OK,来源,置信度,延迟(ms)
458,STATISTICS,ABBREVIATED,"计算EQ-2024-098频率",STATISTICS,QUERY,false,LLM,0.95,1047
459,STATISTICS,ABBREVIATED,"分析EQ-2024-099成本",STATISTICS,QUERY,false,LLM,0.95,828
460,STATISTICS,ABBREVIATED,"统计CS-2024-091消耗",STATISTICS,STATISTICS,true,RULE,0.80,0
461,STATISTICS,ABBREVIATED,"统计CS-2024-092用量",STATISTICS,STATISTICS,true,RULE,0.80,0
462,STATISTICS,ABBREVIATED,"统计CS-2024-093趋势",STATISTICS,STATISTICS,true,RULE,0.80,0
463,STATISTICS,ABBREVIATED,"统计CS-2024-094采购",STATISTICS,STATISTICS,true,RULE,0.80,0
464,STATISTICS,ABBREVIATED,"统计CS-2024-095库存",STATISTICS,STATISTICS,true,RULE,0.80,0
465,STATISTICS,ABBREVIATED,"统计CS-2024-096金额",STATISTICS,STATISTICS,true,RULE,0.80,0
466,STATISTICS,ABBREVIATED,"统计CS-2024-097批次",STATISTICS,STATISTICS,true,RULE,0.80,0
467,STATISTICS,ABBREVIATED,"统计CS-2024-098频率",STATISTICS,STATISTICS,true,RULE,0.80,0
468,STATISTICS,ABBREVIATED,"统计IN-2024-091完成",STATISTICS,STATISTICS,true,RULE,0.80,0
469,STATISTICS,ABBREVIATED,"统计IN-2024-092异常",STATISTICS,STATISTICS,true,RULE,0.80,0
470,STATISTICS,ABBREVIATED,"统计IN-2024-093整改",STATISTICS,STATISTICS,true,RULE,0.80,0
471,STATISTICS,ABBREVIATED,"统计IN-2024-094合格",STATISTICS,STATISTICS,true,RULE,0.80,0
472,STATISTICS,ABBREVIATED,"统计IN-2024-095问题",STATISTICS,STATISTICS,true,RULE,0.80,0
473,STATISTICS,ABBREVIATED,"统计IN-2024-096项目",STATISTICS,STATISTICS,true,RULE,0.80,0
474,STATISTICS,ABBREVIATED,"统计IN-2024-097复查",STATISTICS,STATISTICS,true,RULE,0.80,0
475,STATISTICS,ABBREVIATED,"统计IN-2024-098趋势",STATISTICS,STATISTICS,true,RULE,0.80,0
476,STATISTICS,NOISY,"请统计一下设备EQ-2024-091今年以来发生的故障次数",STATISTICS,STATISTICS,true,RULE,0.80,0
477,STATISTICS,NOISY,"帮忙汇总一下EQ-2024-092累计的巡检次数记录",STATISTICS,STATISTICS,true,RULE,0.80,0
478,STATISTICS,NOISY,"告诉我设备EQ-2024-093过去半年做了多少次维护",STATISTICS,QUERY,false,LLM,0.95,768
479,STATISTICS,NOISY,"麻烦统计一下设备EQ-2024-094历史上的报警次数",STATISTICS,STATISTICS,true,RULE,0.80,0
480,STATISTICS,NOISY,"想了解一下EQ-2024-095总共运行了多长时间",STATISTICS,STATISTICS,true,RULE,0.80,0
481,STATISTICS,NOISY,"帮我看看设备EQ-2024-096的能耗统计情况如何",STATISTICS,STATISTICS,true,RULE,1.00,0
482,STATISTICS,NOISY,"汇总一下EQ-2024-097过去一年做过的保养次数",STATISTICS,STATISTICS,true,RULE,0.80,0
483,STATISTICS,NOISY,"请帮我计算EQ-2024-098平均每次故障之间的间隔",STATISTICS,STATISTICS,true,LLM,0.95,717
484,STATISTICS,NOISY,"分析一下设备EQ-2024-099的各项维修费用总支出",STATISTICS,STATISTICS,true,LLM,0.95,812
485,STATISTICS,NOISY,"麻烦统计耗材CS-2024-091从上架以来的总消耗量",STATISTICS,STATISTICS,true,RULE,0.80,0
486,STATISTICS,NOISY,"帮我汇总一下CS-2024-092每个月平均的用量",STATISTICS,STATISTICS,true,RULE,0.80,0
487,STATISTICS,NOISY,"想分析一下耗材CS-2024-093最近的消耗趋势变化",STATISTICS,STATISTICS,true,LLM,0.95,814
488,STATISTICS,NOISY,"统计CS-2024-094这个耗材全年采购了几次",STATISTICS,STATISTICS,true,RULE,0.80,0
489,STATISTICS,NOISY,"帮我看看耗材CS-2024-095库存变动的历史情况",STATISTICS,QUERY,false,RULE,0.80,0
490,STATISTICS,NOISY,"算一下耗材CS-2024-096总共花出去多少金额",STATISTICS,STATISTICS,true,RULE,0.80,0
491,STATISTICS,NOISY,"统计CS-2024-097各批次分别消耗了多少数量",STATISTICS,STATISTICS,true,RULE,0.80,0
492,STATISTICS,NOISY,"分析耗材CS-2024-098各个部门的使用频率对比",STATISTICS,STATISTICS,true,LLM,0.95,815
493,STATISTICS,NOISY,"统计巡检记录IN-2024-091的月度完成率情况",STATISTICS,STATISTICS,true,RULE,0.80,0
494,STATISTICS,NOISY,"帮我汇总一下IN-2024-092巡检记录的异常率趋势",STATISTICS,STATISTICS,true,RULE,0.80,0
495,STATISTICS,NOISY,"请统计巡检记录IN-2024-093的按时整改完成率",STATISTICS,STATISTICS,true,RULE,0.80,0
496,STATISTICS,NOISY,"我想看看IN-2024-094巡检记录的总体合格率多少",STATISTICS,QUERY,false,RULE,0.80,0
497,STATISTICS,NOISY,"分析IN-2024-095巡检记录里问题的类型与分布",STATISTICS,QUERY,false,LLM,0.95,1114
498,STATISTICS,NOISY,"统计巡检记录IN-2024-096中包含多少检查项目",STATISTICS,STATISTICS,true,RULE,0.80,0
499,STATISTICS,NOISY,"汇总一下IN-2024-097巡检记录的复查次数情况",STATISTICS,STATISTICS,true,RULE,0.80,0
500,STATISTICS,NOISY,"帮我统计巡检记录IN-2024-098合格率的趋势变化",STATISTICS,STATISTICS,true,RULE,0.80,0

--- 7.5 LLM延迟分布 ---
LLM调用次数: 239
平均: 957.2ms, P50: 787ms, P95: 1114ms, P99: 11770ms, Min: 531ms, Max: 11958ms
